com.samsung.shealth.exercise.weather,6311013,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2025-06-07 21:12:23.242,51.442814,,S. 170,Cloudy,0,1,TWC,2025-06-07 21:12:23.245,2025-06-07 21:12:23.245,1,5.4658656,13.0,94,UTC+0200,h6hg6DTKNp,e70af919-e2ad-4467-a3e1-aa8ed1953deb,com.sec.android.app.shealth,km/h,0,10.0,3,84c6941a-6a47-42fe-9b6d-d76144a591d7,
,0,2025-06-10 11:40:34.691,51.407425,,WSW. 250,Showers in the Vicinity,0,1,TWC,2025-06-10 11:40:34.719,2025-06-10 11:40:34.719,1,5.4531198,18.0,69,UTC+0200,h6hg6DTKNp,eca4b764-73eb-4420-ae4d-d72bc4168dd3,com.sec.android.app.shealth,km/h,0,21.0,3,f38c03bb-f1c0-49eb-8ad9-09c6d117722b,
,0,2025-06-10 20:37:10.341,51.439117,,WNW. 290,Fair,0,1,TWC,2025-06-10 20:37:10.342,2025-06-10 20:37:10.342,1,5.462966,14.0,72,UTC+0200,h6hg6DTKNp,4f6f159c-119f-429b-b36d-2695e389e528,com.sec.android.app.shealth,km/h,0,6.0,18,2b5f3f44-cc93-4efa-9f20-7cdc802bce81,
,0,2025-06-10 20:50:40.636,51.44282,,WNW. 290,Fair,0,1,TWC,2025-06-10 20:50:40.640,2025-06-10 20:50:40.640,1,5.4659505,14.0,73,UTC+0200,h6hg6DTKNp,91d60746-2f0f-4060-a25f-672630c118a4,com.sec.android.app.shealth,km/h,0,6.0,18,bd905aeb-55b9-4a65-a5a1-e9071e6f2ab1,
,0,2025-06-11 20:50:24.065,51.444283,,NE. 50,Clear,0,1,TWC,2025-06-11 20:50:24.069,2025-06-11 20:50:24.069,1,5.4635296,17.0,64,UTC+0200,h6hg6DTKNp,cb4dd15e-9118-4231-a872-0941581911b4,com.sec.android.app.shealth,km/h,0,11.0,18,e5ce1988-728f-4979-a073-d33bcdb08ada,
,0,2025-06-12 11:18:31.870,51.407246,,E. 100,Sunny,0,1,TWC,2025-06-12 11:18:31.885,2025-06-12 11:18:31.885,1,5.4530554,26.0,36,UTC+0200,h6hg6DTKNp,53c2ed91-6904-42d1-9115-27c3399c8548,com.sec.android.app.shealth,km/h,0,26.0,1,b454dc74-f15d-4589-88f0-4fc14761bc3c,
,0,2025-06-13 10:13:27.091,51.41078,,E. 80,Sunny,0,1,TWC,2025-06-13 10:13:27.102,2025-06-13 10:13:27.102,1,5.4589453,31.0,40,UTC+0200,h6hg6DTKNp,9ea75d6b-81be-4237-b819-9944a0295200,com.sec.android.app.shealth,km/h,0,8.0,1,59d4f15f-a5a9-44a1-a3f2-9c4149cbdc3e,
,0,2025-06-13 11:06:15.039,51.407276,,E. 100,Sunny,0,1,TWC,2025-06-13 11:06:15.052,2025-06-13 11:06:15.052,1,5.453029,33.0,38,UTC+0200,h6hg6DTKNp,c7a0453b-dc86-4e94-8acc-0ae7a9afd119,com.sec.android.app.shealth,km/h,0,10.0,1,f3e90ba3-30ae-4bfc-8be1-d4eabd6c1a29,
,0,2025-06-14 09:40:49.588,51.438763,,S. 180,Mostly Cloudy,0,1,TWC,2025-06-14 09:40:49.595,2025-06-14 09:40:49.595,1,5.477886,29.0,48,UTC+0200,h6hg6DTKNp,05ddfea8-a6c4-430a-bdd3-661f3b054abc,com.sec.android.app.shealth,km/h,0,8.0,3,1ecb6f36-ac07-4a7f-ac03-e8fba1f92784,
,0,2025-06-14 11:26:57.692,51.440197,,SW. 230,Cloudy,0,1,TWC,2025-06-14 11:26:57.707,2025-06-14 11:26:57.707,1,5.4531765,30.0,50,UTC+0200,h6hg6DTKNp,6f328bf4-dc27-421f-b866-bfcd7fafaed1,com.sec.android.app.shealth,km/h,0,16.0,3,fd974917-c4cf-42e0-872e-f654a286a97c,
