com.samsung.shealth.hsp.references,6311013,1
hsp_id,shealth_id,update_time,create_time,shealth_data_type,deviceuuid,pkg_name,datauuid
055055ea-8521-4af2-895e-c741790eecb4,0abddd19-6ed8-430e-92ca-07a2ebffc110,2026-03-19 12:39:34.270,2026-03-19 12:39:34.270,10001,P1FU22eseu,com.sec.android.app.shealth,1f491fc4-3719-407c-a3f8-56975e9cb408,
598abb2a-7267-47dc-b6fb-ad7a8a4be5b8,3084e47a-34c4-49d5-8405-8d6cfb9a5876,2026-03-19 12:39:34.312,2026-03-19 12:39:34.312,10001,P1FU22eseu,com.sec.android.app.shealth,d17bcd33-4055-404e-af0e-ccec1c600789,
e6d49277-9291-4080-b3de-e8c7a74fd7cc,f297e446-e77f-47fd-9972-a9895174c847,2026-03-19 12:39:34.351,2026-03-19 12:39:34.351,10001,P1FU22eseu,com.sec.android.app.shealth,b5f6e03a-c639-4d6a-a2b0-4ce91add8a8e,
b42ad3fb-db6c-404a-abd9-014bd5c6e5fa,c7ed1a9a-ff97-4006-87a9-76a28638ec1a,2026-03-19 12:39:34.386,2026-03-19 12:39:34.386,10001,P1FU22eseu,com.sec.android.app.shealth,383bc309-c53a-4bdb-86c3-e17d89adac31,
ef4866f2-9c57-402a-a176-31c988b365b8,cc0fd0b1-2eb0-401e-ac33-22b65a61323d,2026-03-19 12:39:34.442,2026-03-19 12:39:34.442,10001,P1FU22eseu,com.sec.android.app.shealth,168d67b1-7ae3-42b3-b427-1297bb4c0c25,
84b94e77-f239-471f-a3fd-40db481331bc,3f1c2816-c649-4824-a818-901e47c6792e,2026-03-19 12:39:34.481,2026-03-19 12:39:34.481,10001,P1FU22eseu,com.sec.android.app.shealth,294c80c4-c9df-493c-b8ff-f090dfa93f61,
fd327e59-35fd-4279-bae4-2f995949133a,b470c926-9ecb-4295-9745-3ea0bdb0ee9c,2026-03-19 12:39:34.519,2026-03-19 12:39:34.519,10001,P1FU22eseu,com.sec.android.app.shealth,af4ce0b9-237a-432c-b15b-a0d51da17949,
7808e922-acab-43db-be78-393aa674f65b,bc36c171-17a0-477d-b174-890cb8d58064,2026-03-19 12:39:34.559,2026-03-19 12:39:34.559,10001,P1FU22eseu,com.sec.android.app.shealth,9c1f0e54-0c13-42ad-9a82-ad648574afbe,
ff301215-380b-4b32-84b6-e862a6659cb1,8855849b-58a3-4ba9-9610-fd819aa1c835,2026-03-19 12:39:34.601,2026-03-19 12:39:34.601,10001,P1FU22eseu,com.sec.android.app.shealth,f2214f4c-4ead-4924-865a-fca49edf7462,
54bf6032-f813-4d01-b2a2-40163987e2ad,af96cd1f-bb91-4542-b9f0-69726b005caa,2026-03-19 12:39:34.654,2026-03-19 12:39:34.654,10001,P1FU22eseu,com.sec.android.app.shealth,fb0f598d-258b-43f6-a38a-7dd079bc14dc,
51c82385-14e1-4da8-8225-cb3958c5a479,569e852c-7d29-47a3-aabf-6bd72b2385e8,2026-03-19 12:39:34.698,2026-03-19 12:39:34.698,10001,P1FU22eseu,com.sec.android.app.shealth,077f3411-6948-4348-8357-f07553cbf157,
655e3040-21b9-484a-b390-f4ecbbc53e8e,2c028efb-96e2-42df-8342-66277308819b,2026-03-19 12:39:34.738,2026-03-19 12:39:34.738,10001,P1FU22eseu,com.sec.android.app.shealth,4c6b0e4a-ecdf-4e60-830a-5b939023fb9f,
b618f9da-96e6-49fa-b448-7e678e507dfd,49ccb184-99bc-4f5b-a04d-b9fd6a5ed086,2026-03-19 12:39:34.780,2026-03-19 12:39:34.780,10001,P1FU22eseu,com.sec.android.app.shealth,5af4bb3e-2e17-432c-b5b5-c13b77dee0e0,
d855d886-1e5c-4077-9a9f-0e26cff75e3e,ec75fe51-efa5-4bcf-a129-24a4859ef8aa,2026-03-19 12:39:34.824,2026-03-19 12:39:34.824,10001,P1FU22eseu,com.sec.android.app.shealth,f1c22004-7b44-42e6-8020-fa8ea117e55c,
014b66fb-788c-4c31-ab46-91b26fa900a2,9ffdfeb4-ced9-4a73-8074-758e20e078f8,2026-03-19 12:39:34.864,2026-03-19 12:39:34.864,10001,P1FU22eseu,com.sec.android.app.shealth,df53da81-7c4f-4d08-957e-efad398a23c5,
b77de7ac-6fc1-4604-808a-917ea9b348d6,9bfbdd78-cbb8-4010-8036-3c0d8ee2af58,2026-03-19 12:39:34.899,2026-03-19 12:39:34.899,10001,P1FU22eseu,com.sec.android.app.shealth,e7924e0b-a74d-48c3-a4ea-fb1638e14b95,
5e80425d-721f-427d-845d-f0edcaed1718,33a6835a-d855-4cec-b424-129adee4fdf7,2026-03-19 12:39:34.938,2026-03-19 12:39:34.938,10001,P1FU22eseu,com.sec.android.app.shealth,0a21b404-e2c8-4b68-bacf-8ef8321d3785,
bcc28e14-7ac0-4f21-997f-86b176d52159,17be918d-e303-475e-a22e-f925f567a8cd,2026-03-19 12:39:34.983,2026-03-19 12:39:34.983,10001,P1FU22eseu,com.sec.android.app.shealth,5ba6bbc8-4185-46c7-92a6-d4b052be8794,
b4b53f8c-6ba9-42f9-958e-ff0fb288b7e7,25486d9d-1af1-416a-a050-636ba0f31f26,2026-03-19 15:05:22.356,2026-03-19 15:05:22.356,10001,P1FU22eseu,com.sec.android.app.shealth,38a6243e-2a91-4120-b096-9709b2ecd2f3,
3f269e30-bc80-41f7-a41f-e21aad131736,15c4208f-896d-4874-a7e0-58b402d2fabb,2026-03-21 17:45:36.535,2026-03-21 17:45:36.535,10000,P1FU22eseu,com.sec.android.app.shealth,f33c4948-5ad2-4e48-936b-d8f00ec32edb,
989b792f-4d62-4a04-bd05-8648184f9a74,daeda95c-b806-42df-8ee9-56012d7108b5,2026-03-21 17:49:30.912,2026-03-21 17:49:30.912,10008,P1FU22eseu,com.google.android.apps.fitness,c2cd6ee2-d177-484f-b754-2ab7c8aee860,
b76492da-11de-428f-9199-18665aa8b59a,44df9bc7-f7e2-4e08-8af7-1da188403a6d,2026-03-21 17:49:30.920,2026-03-21 17:49:30.920,10008,P1FU22eseu,com.google.android.apps.fitness,501c9044-91b8-45dc-9dfc-7c14bd4b82e6,
35f3917e-fac3-49d3-8c4a-ccc588407fc7,6bfc646e-f4f2-40ad-b4b2-10dbbab471be,2026-03-21 17:49:30.926,2026-03-21 17:49:30.926,10008,P1FU22eseu,com.google.android.apps.fitness,0f2a774b-fc1c-4d62-8a11-0c524c445c80,
